n,r,epsilon,seed,epsilon_total,epsilon_structure,epsilon_parameters,num_structure_steps,epsilon_step,epsilon_cpt,hist_sensitivity,laplace_scale,mi_sensitivity_bound,neighbor_model
3000,2,0.5,2,0.5,0.25,0.25,3,0.08333333,0.0625,2.0,32.0,0.00554215,replace_one_tuple
3000,2,0.5,3,0.5,0.25,0.25,3,0.08333333,0.0625,2.0,32.0,0.00554215,replace_one_tuple
3000,2,0.5,4,0.5,0.25,0.25,3,0.08333333,0.0625,2.0,32.0,0.00554215,replace_one_tuple
3000,2,1.0,0,1.0,0.5,0.5,3,0.16666667,0.125,2.0,16.0,0.00554215,replace_one_tuple
3000,2,1.0,1,1.0,0.5,0.5,3,0.16666667,0.125,2.0,16.0,0.00554215,replace_one_tuple
3000,2,1.0,2,1.0,0.5,0.5,3,0.16666667,0.125,2.0,16.0,0.00554215,replace_one_tuple
3000,2,1.0,3,1.0,0.5,0.5,3,0.16666667,0.125,2.0,16.0,0.00554215,replace_one_tuple
3000,2,1.0,4,1.0,0.5,0.5,3,0.16666667,0.125,2.0,16.0,0.00554215,replace_one_tuple
3000,2,2.0,0,2.0,1.0,1.0,3,0.33333333,0.25,2.0,8.0,0.00554215,replace_one_tuple
3000,2,2.0,1,2.0,1.0,1.0,3,0.33333333,0.25,2.0,8.0,0.00554215,replace_one_tuple
3000,2,2.0,2,2.0,1.0,1.0,3,0.33333333,0.25,2.0,8.0,0.00554215,replace_one_tuple
3000,2,2.0,3,2.0,1.0,1.0,3,0.33333333,0.25,2.0,8.0,0.00554215,replace_one_tuple
3000,2,2.0,4,2.0,1.0,1.0,3,0.33333333,0.25,2.0,8.0,0.00554215,replace_one_tuple
5000,0,0.1,0,0.1,0.0,0.1,0,0.0,0.025,2.0,80.0,0.00352962,replace_one_tuple
5000,0,0.1,1,0.1,0.0,0.1,0,0.0,0.025,2.0,80.0,0.00352962,replace_one_tuple
5000,0,0.1,2,0.1,0.0,0.1,0,0.0,0.025,2.0,80.0,0.00352962,replace_one_tuple
5000,0,0.1,3,0.1,0.0,0.1,0,0.0,0.025,2.0,80.0,0.00352962,replace_one_tuple
5000,0,0.1,4,0.1,0.0,0.1,0,0.0,0.025,2.0,80.0,0.00352962,replace_one_tuple
5000,0,0.5,0,0.5,0.0,0.5,0,0.0,0.125,2.0,16.0,0.00352962,replace_one_tuple
5000,0,0.5,1,0.5,0.0,0.5,0,0.0,0.125,2.0,16.0,0.00352962,replace_one_tuple
5000,0,0.5,2,0.5,0.0,0.5,0,0.0,0.125,2.0,16.0,0.00352962,replace_one_tuple
5000,0,0.5,3,0.5,0.0,0.5,0,0.0,0.125,2.0,16.0,0.00352962,replace_one_tuple
5000,0,0.5,4,0.5,0.0,0.5,0,0.0,0.125,2.0,16.0,0.00352962,replace_one_tuple
5000,0,1.0,0,1.0,0.0,1.0,0,0.0,0.25,2.0,8.0,0.00352962,replace_one_tuple
5000,0,1.0,1,1.0,0.0,1.0,0,0.0,0.25,2.0,8.0,0.00352962,replace_one_tuple
5000,0,1.0,2,1.0,0.0,1.0,0,0.0,0.25,2.0,8.0,0.00352962,replace_one_tuple
5000,0,1.0,3,1.0,0.0,1.0,0,0.0,0.25,2.0,8.0,0.00352962,replace_one_tuple
5000,0,1.0,4,1.0,0.0,1.0,0,0.0,0.25,2.0,8.0,0.00352962,replace_one_tuple
5000,0,2.0,0,2.0,0.0,2.0,0,0.0,0.5,2.0,4.0,0.00352962,replace_one_tuple
5000,0,2.0,1,2.0,0.0,2.0,0,0.0,0.5,2.0,4.0,0.00352962,replace_one_tuple
5000,0,2.0,2,2.0,0.0,2.0,0,0.0,0.5,2.0,4.0,0.00352962,replace_one_tuple
5000,0,2.0,3,2.0,0.0,2.0,0,0.0,0.5,2.0,4.0,0.00352962,replace_one_tuple
5000,0,2.0,4,2.0,0.0,2.0,0,0.0,0.5,2.0,4.0,0.00352962,replace_one_tuple
5000,1,0.1,0,0.1,0.05,0.05,3,0.01666667,0.0125,2.0,160.0,0.00352962,replace_one_tuple
5000,1,0.1,1,0.1,0.05,0.05,3,0.01666667,0.0125,2.0,160.0,0.00352962,replace_one_tuple
5000,1,0.1,2,0.1,0.05,0.05,3,0.01666667,0.0125,2.0,160.0,0.00352962,replace_one_tuple
5000,1,0.1,3,0.1,0.05,0.05,3,0.01666667,0.0125,2.0,160.0,0.00352962,replace_one_tuple
5000,1,0.1,4,0.1,0.05,0.05,3,0.01666667,0.0125,2.0,160.0,0.00352962,replace_one_tuple
5000,1,0.5,0,0.5,0.25,0.25,3,0.08333333,0.0625,2.0,32.0,0.00352962,replace_one_tuple
5000,1,0.5,1,0.5,0.25,0.25,3,0.08333333,0.0625,2.0,32.0,0.00352962,replace_one_tuple
5000,1,0.5,2,0.5,0.25,0.25,3,0.08333333,0.0625,2.0,32.0,0.00352962,replace_one_tuple
5000,1,0.5,3,0.5,0.25,0.25,3,0.08333333,0.0625,2.0,32.0,0.00352962,replace_one_tuple
5000,1,0.5,4,0.5,0.25,0.25,3,0.08333333,0.0625,2.0,32.0,0.00352962,replace_one_tuple
5000,1,1.0,0,1.0,0.5,0.5,3,0.16666667,0.125,2.0,16.0,0.00352962,replace_one_tuple
5000,1,1.0,1,1.0,0.5,0.5,3,0.16666667,0.125,2.0,16.0,0.00352962,replace_one_tuple
5000,1,1.0,2,1.0,0.5,0.5,3,0.16666667,0.125,2.0,16.0,0.00352962,replace_one_tuple
5000,1,1.0,3,1.0,0.5,0.5,3,0.16666667,0.125,2.0,16.0,0.00352962,replace_one_tuple
5000,1,1.0,4,1.0,0.5,0.5,3,0.16666667,0.125,2.0,16.0,0.00352962,replace_one_tuple
5000,1,2.0,0,2.0,1.0,1.0,3,0.33333333,0.25,2.0,8.0,0.00352962,replace_one_tuple
5000,1,2.0,1,2.0,1.0,1.0,3,0.33333333,0.25,2.0,8.0,0.00352962,replace_one_tuple
5000,1,2.0,2,2.0,1.0,1.0,3,0.33333333,0.25,2.0,8.0,0.00352962,replace_one_tuple
5000,1,2.0,3,2.0,1.0,1.0,3,0.33333333,0.25,2.0,8.0,0.00352962,replace_one_tuple
5000,1,2.0,4,2.0,1.0,1.0,3,0.33333333,0.25,2.0,8.0,0.00352962,replace_one_tuple
5000,2,0.1,0,0.1,0.05,0.05,3,0.01666667,0.0125,2.0,160.0,0.00352962,replace_one_tuple
5000,2,0.1,1,0.1,0.05,0.05,3,0.01666667,0.0125,2.0,160.0,0.00352962,replace_one_tuple
5000,2,0.1,2,0.1,0.05,0.05,3,0.01666667,0.0125,2.0,160.0,0.00352962,replace_one_tuple
5000,2,0.1,3,0.1,0.05,0.05,3,0.01666667,0.0125,2.0,160.0,0.00352962,replace_one_tuple
5000,2,0.1,4,0.1,0.05,0.05,3,0.01666667,0.0125,2.0,160.0,0.00352962,replace_one_tuple
5000,2,0.5,0,0.5,0.25,0.25,3,0.08333333,0.0625,2.0,32.0,0.00352962,replace_one_tuple
5000,2,0.5,1,0.5,0.25,0.25,3,0.08333333,0.0625,2.0,32.0,0.00352962,replace_one_tuple
5000,2,0.5,2,0.5,0.25,0.25,3,0.08333333,0.0625,2.0,32.0,0.00352962,replace_one_tuple
5000,2,0.5,3,0.5,0.25,0.25,3,0.08333333,0.0625,2.0,32.0,0.00352962,replace_one_tuple
5000,2,0.5,4,0.5,0.25,0.25,3,0.08333333,0.0625,2.0,32.0,0.00352962,replace_one_tuple
5000,2,1.0,0,1.0,0.5,0.5,3,0.16666667,0.125,2.0,16.0,0.00352962,replace_one_tuple
5000,2,1.0,1,1.0,0.5,0.5,3,0.16666667,0.125,2.0,16.0,0.00352962,replace_one_tuple
5000,2,1.0,2,1.0,0.5,0.5,3,0.16666667,0.125,2.0,16.0,0.00352962,replace_one_tuple
5000,2,1.0,3,1.0,0.5,0.5,3,0.16666667,0.125,2.0,16.0,0.00352962,replace_one_tuple
5000,2,1.0,4,1.0,0.5,0.5,3,0.16666667,0.125,2.0,16.0,0.00352962,replace_one_tuple
5000,2,2.0,0,2.0,1.0,1.0,3,0.33333333,0.25,2.0,8.0,0.00352962,replace_one_tuple
5000,2,2.0,1,2.0,1.0,1.0,3,0.33333333,0.25,2.0,8.0,0.00352962,replace_one_tuple
5000,2,2.0,2,2.0,1.0,1.0,3,0.33333333,0.25,2.0,8.0,0.00352962,replace_one_tuple
5000,2,2.0,3,2.0,1.0,1.0,3,0.33333333,0.25,2.0,8.0,0.00352962,replace_one_tuple
5000,2,2.0,4,2.0,1.0,1.0,3,0.33333333,0.25,2.0,8.0,0.00352962,replace_one_tuple
10000,0,0.1,0,0.1,0.0,0.1,0,0.0,0.025,2.0,80.0,0.00190344,replace_one_tuple
10000,0,0.1,1,0.1,0.0,0.1,0,0.0,0.025,2.0,80.0,0.00190344,replace_one_tuple
10000,0,0.1,2,0.1,0.0,0.1,0,0.0,0.025,2.0,80.0,0.00190344,replace_one_tuple
10000,0,0.1,3,0.1,0.0,0.1,0,0.0,0.025,2.0,80.0,0.00190344,replace_one_tuple
10000,0,0.1,4,0.1,0.0,0.1,0,0.0,0.025,2.0,80.0,0.00190344,replace_one_tuple
10000,0,0.5,0,0.5,0.0,0.5,0,0.0,0.125,2.0,16.0,0.00190344,replace_one_tuple
10000,0,0.5,1,0.5,0.0,0.5,0,0.0,0.125,2.0,16.0,0.00190344,replace_one_tuple
10000,0,0.5,2,0.5,0.0,0.5,0,0.0,0.125,2.0,16.0,0.00190344,replace_one_tuple
10000,0,0.5,3,0.5,0.0,0.5,0,0.0,0.125,2.0,16.0,0.00190344,replace_one_tuple
10000,0,0.5,4,0.5,0.0,0.5,0,0.0,0.125,2.0,16.0,0.00190344,replace_one_tuple
10000,0,1.0,0,1.0,0.0,1.0,0,0.0,0.25,2.0,8.0,0.00190344,replace_one_tuple
10000,0,1.0,1,1.0,0.0,1.0,0,0.0,0.25,2.0,8.0,0.00190344,replace_one_tuple
10000,0,1.0,2,1.0,0.0,1.0,0,0.0,0.25,2.0,8.0,0.00190344,replace_one_tuple
10000,0,1.0,3,1.0,0.0,1.0,0,0.0,0.25,2.0,8.0,0.00190344,replace_one_tuple
10000,0,1.0,4,1.0,0.0,1.0,0,0.0,0.25,2.0,8.0,0.00190344,replace_one_tuple
10000,0,2.0,0,2.0,0.0,2.0,0,0.0,0.5,2.0,4.0,0.00190344,replace_one_tuple
10000,0,2.0,1,2.0,0.0,2.0,0,0.0,0.5,2.0,4.0,0.00190344,replace_one_tuple
10000,0,2.0,2,2.0,0.0,2.0,0,0.0,0.5,2.0,4.0,0.00190344,replace_one_tuple
10000,0,2.0,3,2.0,0.0,2.0,0,0.0,0.5,2.0,4.0,0.00190344,replace_one_tuple
10000,0,2.0,4,2.0,0.0,2.0,0,0.0,0.5,2.0,4.0,0.00190344,replace_one_tuple
10000,1,0.1,0,0.1,0.05,0.05,3,0.01666667,0.0125,2.0,160.0,0.00190344,replace_one_tuple
10000,1,0.1,1,0.1,0.05,0.05,3,0.01666667,0.0125,2.0,160.0,0.00190344,replace_one_tuple
10000,1,0.1,2,0.1,0.05,0.05,3,0.01666667,0.0125,2.0,160.0,0.00190344,replace_one_tuple
10000,1,0.1,3,0.1,0.05,0.05,3,0.01666667,0.0125,2.0,160.0,0.00190344,replace_one_tuple
10000,1,0.1,4,0.1,0.05,0.05,3,0.01666667,0.0125,2.0,160.0,0.00190344,replace_one_tuple
10000,1,0.5,0,0.5,0.25,0.25,3,0.08333333,0.0625,2.0,32.0,0.00190344,replace_one_tuple
10000,1,0.5,1,0.5,0.25,0.25,3,0.08333333,0.0625,2.0,32.0,0.00190344,replace_one_tuple
10000,1,0.5,2,0.5,0.25,0.25,3,0.08333333,0.0625,2.0,32.0,0.00190344,replace_one_tuple
10000,1,0.5,3,0.5,0.25,0.25,3,0.08333333,0.0625,2.0,32.0,0.00190344,replace_one_tuple
10000,1,0.5,4,0.5,0.25,0.25,3,0.08333333,0.0625,2.0,32.0,0.00190344,replace_one_tuple
10000,1,1.0,0,1.0,0.5,0.5,3,0.16666667,0.125,2.0,16.0,0.00190344,replace_one_tuple
10000,1,1.0,1,1.0,0.5,0.5,3,0.16666667,0.125,2.0,16.0,0.00190344,replace_one_tuple
10000,1,1.0,2,1.0,0.5,0.5,3,0.16666667,0.125,2.0,16.0,0.00190344,replace_one_tuple
10000,1,1.0,3,1.0,0.5,0.5,3,0.16666667,0.125,2.0,16.0,0.00190344,replace_one_tuple
10000,1,1.0,4,1.0,0.5,0.5,3,0.16666667,0.125,2.0,16.0,0.00190344,replace_one_tuple
10000,1,2.0,0,2.0,1.0,1.0,3,0.33333333,0.25,2.0,8.0,0.00190344,replace_one_tuple
10000,1,2.0,1,2.0,1.0,1.0,3,0.33333333,0.25,2.0,8.0,0.00190344,replace_one_tuple
10000,1,2.0,2,2.0,1.0,1.0,3,0.33333333,0.25,2.0,8.0,0.00190344,replace_one_tuple
10000,1,2.0,3,2.0,1.0,1.0,3,0.33333333,0.25,2.0,8.0,0.00190344,replace_one_tuple
10000,1,2.0,4,2.0,1.0,1.0,3,0.33333333,0.25,2.0,8.0,0.00190344,replace_one_tuple
10000,2,0.1,0,0.1,0.05,0.05,3,0.01666667,0.0125,2.0,160.0,0.00190344,replace_one_tuple
10000,2,0.1,1,0.1,0.05,0.05,3,0.01666667,0.0125,2.0,160.0,0.00190344,replace_one_tuple
10000,2,0.1,2,0.1,0.05,0.05,3,0.01666667,0.0125,2.0,160.0,0.00190344,replace_one_tuple
10000,2,0.1,3,0.1,0.05,0.05,3,0.01666667,0.0125,2.0,160.0,0.00190344,replace_one_tuple
10000,2,0.1,4,0.1,0.05,0.05,3,0.01666667,0.0125,2.0,160.0,0.00190344,replace_one_tuple
10000,2,0.5,0,0.5,0.25,0.25,3,0.08333333,0.0625,2.0,32.0,0.00190344,replace_one_tuple
10000,2,0.5,1,0.5,0.25,0.25,3,0.08333333,0.0625,2.0,32.0,0.00190344,replace_one_tuple
10000,2,0.5,2,0.5,0.25,0.25,3,0.08333333,0.0625,2.0,32.0,0.00190344,replace_one_tuple
10000,2,0.5,3,0.5,0.25,0.25,3,0.08333333,0.0625,2.0,32.0,0.00190344,replace_one_tuple
10000,2,0.5,4,0.5,0.25,0.25,3,0.08333333,0.0625,2.0,32.0,0.00190344,replace_one_tuple
10000,2,1.0,0,1.0,0.5,0.5,3,0.16666667,0.125,2.0,16.0,0.00190344,replace_one_tuple
10000,2,1.0,1,1.0,0.5,0.5,3,0.16666667,0.125,2.0,16.0,0.00190344,replace_one_tuple
10000,2,1.0,2,1.0,0.5,0.5,3,0.16666667,0.125,2.0,16.0,0.00190344,replace_one_tuple
10000,2,1.0,3,1.0,0.5,0.5,3,0.16666667,0.125,2.0,16.0,0.00190344,replace_one_tuple
10000,2,1.0,4,1.0,0.5,0.5,3,0.16666667,0.125,2.0,16.0,0.00190344,replace_one_tuple
10000,2,2.0,0,2.0,1.0,1.0,3,0.33333333,0.25,2.0,8.0,0.00190344,replace_one_tuple
10000,2,2.0,1,2.0,1.0,1.0,3,0.33333333,0.25,2.0,8.0,0.00190344,replace_one_tuple
10000,2,2.0,2,2.0,1.0,1.0,3,0.33333333,0.25,2.0,8.0,0.00190344,replace_one_tuple
10000,2,2.0,3,2.0,1.0,1.0,3,0.33333333,0.25,2.0,8.0,0.00190344,replace_one_tuple
10000,2,2.0,4,2.0,1.0,1.0,3,0.33333333,0.25,2.0,8.0,0.00190344,replace_one_tuple
