age,education_num,hours_per_week,income_class
45,12,45,LowerMiddle
75,12,45,LowerMiddle
35,8,55,Low
65,10,65,LowerMiddle
45,9,55,VeryHigh
45,9,55,VeryHigh
55,10,35,Low
75,12,45,LowerMiddle
24,9,35,Low
24,9,35,High
24,10,35,Extreme
24,8,25,Low
24,10,45,Low
35,12,45,LowerMiddle
75,10,45,LowerMiddle
35,9,45,LowerMiddle
24,10,35,LowerMiddle
55,12,45,LowerMiddle
65,10,45,LowerMiddle
45,11,35,Low
45,13,45,VeryHigh
55,14,35,High
45,9,35,High
24,13,55,High
35,12,45,LowerMiddle
45,9,55,VeryHigh
55,14,35,Low
35,11,45,Low
55,9,35,Extreme
55,16,45,High
55,9,45,LowerMiddle
45,13,45,UpperMiddle
65,8,25,Low
45,6,65,High
24,11,25,LowerMiddle
75,12,45,LowerMiddle
45,9,35,Low
24,8,25,Low
45,9,55,VeryHigh
35,8,45,Low
35,8,55,Low
24,9,35,Extreme
45,9,35,Extreme
65,16,35,LowerMiddle
35,9,45,High
45,9,55,VeryHigh
45,10,35,High
75,12,45,LowerMiddle
45,14,25,LowerMiddle
24,10,45,Low
55,9,35,High
24,10,35,VeryHigh
45,13,45,High
45,12,45,LowerMiddle
24,10,35,LowerMiddle
65,11,35,LowerMiddle
35,11,45,High
35,12,55,Extreme
45,12,45,LowerMiddle
65,14,25,LowerMiddle
65,15,65,VeryHigh
55,10,35,High
75,12,45,LowerMiddle
65,8,55,VeryHigh
45,8,25,Extreme
45,13,45,VeryHigh
45,9,55,VeryHigh
55,10,45,LowerMiddle
75,10,45,Low
24,9,35,High
45,6,65,High
55,11,5,High
55,10,65,Extreme
35,9,45,High
35,8,55,VeryHigh
55,13,25,Low
65,8,55,UpperMiddle
35,9,45,High
45,12,45,LowerMiddle
65,16,35,LowerMiddle
75,11,35,LowerMiddle
65,8,25,Low
45,16,45,UpperMiddle
55,10,45,Low
24,8,25,Low
65,8,25,Extreme
45,9,35,Extreme
24,10,35,LowerMiddle
55,9,45,High
45,9,45,High
75,16,45,High
24,9,35,Extreme
55,10,35,LowerMiddle
24,11,25,LowerMiddle
35,12,35,Extreme
65,10,25,UpperMiddle
45,10,25,Extreme
24,9,35,High
55,10,35,LowerMiddle
45,13,25,Low
65,14,25,LowerMiddle
65,14,45,VeryHigh
65,8,25,Low
75,14,35,Low
75,12,45,LowerMiddle
24,10,35,High
24,9,35,Low
45,8,65,Extreme
24,15,65,VeryHigh
45,13,45,High
55,9,35,High
75,10,45,LowerMiddle
45,9,55,LowerMiddle
65,10,45,LowerMiddle
35,16,45,UpperMiddle
75,12,55,Low
65,15,5,Low
55,10,65,Extreme
65,14,25,LowerMiddle
75,14,35,High
65,8,55,UpperMiddle
24,13,55,High
75,14,35,High
35,12,35,LowerMiddle
65,10,45,Low
45,9,55,LowerMiddle
75,9,45,LowerMiddle
55,16,45,VeryHigh
24,14,65,UpperMiddle
65,11,35,High
24,10,45,LowerMiddle
55,16,65,High
24,10,35,Extreme
45,14,25,Extreme
24,11,35,UpperMiddle
55,10,45,Low
35,9,45,LowerMiddle
45,10,25,LowerMiddle
24,9,35,Extreme
35,8,55,Low
35,12,45,VeryHigh
55,16,45,High
55,10,35,LowerMiddle
75,12,45,LowerMiddle
45,8,25,Low
35,9,45,High
45,13,45,High
35,9,45,LowerMiddle
75,8,35,VeryHigh
65,8,5,LowerMiddle
45,13,45,VeryHigh
75,14,45,UpperMiddle
35,9,45,LowerMiddle
45,9,35,Extreme
65,11,35,LowerMiddle
75,9,45,High
24,9,35,Extreme
45,9,35,Extreme
65,10,25,Extreme
35,16,45,VeryHigh
24,10,35,LowerMiddle
35,8,55,UpperMiddle
45,9,55,VeryHigh
75,16,5,Extreme
55,14,35,Low
45,6,25,UpperMiddle
24,9,35,Low
45,9,35,Low
24,8,25,Low
75,14,35,High
45,12,35,Extreme
45,9,55,VeryHigh
24,11,45,UpperMiddle
45,13,45,VeryHigh
65,16,35,LowerMiddle
35,12,55,Low
24,11,25,UpperMiddle
35,8,55,VeryHigh
45,9,55,VeryHigh
65,8,25,Low
24,8,25,Low
55,9,45,High
75,10,45,LowerMiddle
45,12,45,LowerMiddle
45,13,45,High
35,11,45,Low
45,8,25,Low
65,7,45,UpperMiddle
24,8,25,Low
65,8,55,VeryHigh
24,10,45,Low
75,11,45,UpperMiddle
24,11,35,Low
55,16,45,VeryHigh
45,6,15,Low
75,9,45,High
65,10,25,LowerMiddle
55,14,35,High
45,9,35,Extreme
45,13,45,VeryHigh
24,11,35,LowerMiddle
75,14,35,Low
24,9,35,Low
75,12,45,LowerMiddle
45,10,25,UpperMiddle
35,9,45,LowerMiddle
65,12,35,Extreme
65,7,45,UpperMiddle
55,10,45,LowerMiddle
45,13,45,High
24,11,35,LowerMiddle
45,13,45,High
45,13,45,VeryHigh
24,8,25,Low
75,14,35,Low
24,8,25,Extreme
65,16,35,LowerMiddle
65,16,35,LowerMiddle
75,8,45,LowerMiddle
75,12,45,VeryHigh
24,10,35,LowerMiddle
45,9,55,VeryHigh
75,12,45,LowerMiddle
45,9,55,LowerMiddle
75,10,45,Low
75,12,45,LowerMiddle
55,9,45,High
55,11,25,VeryHigh
35,9,45,LowerMiddle
55,9,35,High
55,10,65,LowerMiddle
35,12,55,Low
45,9,35,Extreme
65,9,45,LowerMiddle
35,9,45,High
55,9,45,LowerMiddle
55,10,45,Low
35,9,45,High
45,9,55,VeryHigh
55,10,35,LowerMiddle
24,8,25,Low
75,10,45,Low
24,10,45,LowerMiddle
45,10,25,High
75,14,35,Low
75,10,45,LowerMiddle
45,9,35,Low
65,11,45,UpperMiddle
55,10,35,VeryHigh
75,10,45,LowerMiddle
45,9,55,VeryHigh
35,12,45,LowerMiddle
45,6,25,UpperMiddle
65,16,35,LowerMiddle
45,14,25,LowerMiddle
45,12,35,Extreme
35,6,65,Low
75,14,25,LowerMiddle
55,9,35,Extreme
75,14,35,Low
45,13,45,High
24,9,35,Extreme
75,12,45,LowerMiddle
55,12,35,Low
75,11,45,LowerMiddle
45,13,45,VeryHigh
75,10,45,Low
75,12,45,LowerMiddle
55,14,35,High
35,12,35,Extreme
65,10,45,LowerMiddle
65,11,45,High
35,9,45,LowerMiddle
65,11,45,UpperMiddle
24,8,35,Low
65,8,55,UpperMiddle
24,10,25,High
45,6,65,High
75,12,45,LowerMiddle
75,12,35,Low
55,8,45,LowerMiddle
45,13,45,VeryHigh
55,9,45,LowerMiddle
45,12,45,LowerMiddle
45,13,25,LowerMiddle
75,12,45,LowerMiddle
55,10,65,UpperMiddle
45,6,25,VeryHigh
45,9,35,High
45,9,45,LowerMiddle
24,9,35,High
45,6,25,VeryHigh
45,13,45,VeryHigh
45,9,55,LowerMiddle
35,11,45,Low
55,16,65,LowerMiddle
65,14,25,LowerMiddle
24,10,35,LowerMiddle
45,9,55,LowerMiddle
45,8,65,LowerMiddle
55,11,45,High
35,11,5,High
45,12,45,LowerMiddle
75,12,55,Extreme
24,10,35,LowerMiddle
45,13,55,High
24,8,25,Low
35,8,45,LowerMiddle
45,6,25,UpperMiddle
35,13,55,High
75,12,45,VeryHigh
75,12,45,LowerMiddle
45,8,25,Low
45,13,45,High
45,10,25,LowerMiddle
75,12,45,LowerMiddle
45,13,45,VeryHigh
55,9,45,LowerMiddle
55,11,45,Low
75,9,25,Extreme
55,12,45,LowerMiddle
55,13,25,UpperMiddle
24,10,25,LowerMiddle
65,9,45,High
75,12,45,LowerMiddle
65,8,25,Low
24,10,25,VeryHigh
45,9,45,High
35,9,45,High
55,12,35,Extreme
45,9,55,VeryHigh
45,9,35,Low
55,11,45,Low
24,10,25,UpperMiddle
35,13,55,High
45,13,45,VeryHigh
45,9,35,Extreme
35,12,35,High
45,10,25,High
45,10,35,LowerMiddle
35,9,45,LowerMiddle
35,9,45,LowerMiddle
45,12,45,LowerMiddle
24,10,35,LowerMiddle
35,8,55,VeryHigh
35,12,35,Extreme
65,15,35,High
75,10,45,LowerMiddle
75,11,45,LowerMiddle
55,14,35,Low
75,11,35,High
45,9,55,VeryHigh
45,13,45,High
65,8,25,Low
45,9,35,Extreme
24,15,65,VeryHigh
65,8,25,Low
35,9,45,High
45,16,15,UpperMiddle
45,13,45,High
45,9,35,High
45,13,45,VeryHigh
65,8,55,UpperMiddle
45,13,45,VeryHigh
45,10,25,High
45,12,35,Extreme
45,13,45,VeryHigh
75,10,45,LowerMiddle
75,8,35,VeryHigh
24,10,35,High
24,9,35,Extreme
75,12,45,LowerMiddle
35,11,45,Low
35,14,65,UpperMiddle
65,11,45,Low
65,14,45,VeryHigh
75,12,55,Low
35,8,45,Extreme
45,9,55,VeryHigh
24,8,45,LowerMiddle
35,8,45,LowerMiddle
45,9,45,High
55,14,35,Low
55,13,25,Extreme
35,9,45,High
45,13,25,Low
45,13,45,High
55,10,65,UpperMiddle
45,9,35,Low
65,10,45,LowerMiddle
75,12,35,UpperMiddle
45,9,35,High
45,13,45,High
75,12,45,LowerMiddle
55,9,35,Low
45,16,45,High
45,12,35,Extreme
65,8,25,Low
45,13,45,High
35,11,45,Low
35,11,45,High
75,9,45,LowerMiddle
35,11,45,Low
75,10,45,Low
75,14,45,UpperMiddle
24,10,35,LowerMiddle
55,10,65,Extreme
75,12,45,LowerMiddle
45,6,25,UpperMiddle
65,8,55,Low
35,13,55,High
65,8,55,VeryHigh
35,12,45,LowerMiddle
24,8,25,Extreme
65,10,45,Low
75,14,35,Low
45,12,45,VeryHigh
35,12,35,Extreme
55,16,65,High
45,13,45,VeryHigh
24,9,35,Low
35,9,45,High
65,8,55,VeryHigh
55,16,45,High
45,9,55,VeryHigh
35,13,55,High
75,12,55,Extreme
35,12,55,High
75,12,45,LowerMiddle
75,12,45,VeryHigh
35,12,45,LowerMiddle
35,9,45,LowerMiddle
75,12,35,UpperMiddle
45,12,45,Extreme
24,10,25,High
75,12,55,Extreme
24,8,25,Extreme
24,9,35,Low
45,13,45,High
65,10,45,LowerMiddle
45,13,45,High
55,12,35,High
45,9,55,LowerMiddle
65,8,55,Extreme
45,13,45,High
35,12,45,VeryHigh
55,16,65,LowerMiddle
75,12,45,LowerMiddle
65,8,55,VeryHigh
24,11,25,UpperMiddle
75,14,25,LowerMiddle
45,9,55,LowerMiddle
75,9,45,Low
45,13,45,High
75,12,45,VeryHigh
24,9,35,Extreme
24,10,45,LowerMiddle
35,7,65,High
35,7,65,Extreme
65,8,25,Low
65,11,45,High
45,13,45,High
55,12,35,Extreme
24,10,35,LowerMiddle
45,9,35,Low
55,9,35,High
55,9,45,High
45,9,55,VeryHigh
65,11,45,High
45,8,65,High
45,6,65,Low
75,14,35,High
65,9,45,High
55,10,35,High
55,10,45,Low
35,16,45,VeryHigh
65,13,45,UpperMiddle
45,6,65,LowerMiddle
45,9,55,VeryHigh
24,10,35,High
24,10,25,Extreme
35,11,45,Low
24,10,35,LowerMiddle
75,11,45,UpperMiddle
24,10,45,Low
45,9,35,High
75,14,35,High
65,11,35,High
75,9,45,High
55,12,35,Extreme
35,14,65,UpperMiddle
45,13,45,VeryHigh
35,12,55,Low
45,13,45,VeryHigh
45,12,45,LowerMiddle
24,8,25,Low
35,11,45,High
35,13,55,High
45,6,25,VeryHigh
24,11,45,LowerMiddle
75,12,45,LowerMiddle
45,13,45,VeryHigh
75,9,45,LowerMiddle
75,14,35,High
75,12,35,Extreme
24,9,35,Low
24,11,25,UpperMiddle
55,16,45,High
45,9,35,Low
35,11,45,High
75,12,55,High
24,10,25,Extreme
65,11,35,Low
35,8,45,LowerMiddle
45,13,45,High
75,12,45,LowerMiddle
45,9,55,VeryHigh
45,9,35,Extreme
45,12,45,LowerMiddle
24,8,25,Low
75,12,45,LowerMiddle
45,13,45,High
55,13,25,Low
24,9,35,Low
35,12,45,LowerMiddle
65,10,45,Low
45,16,45,High
75,12,45,Extreme
75,12,45,VeryHigh
45,14,25,LowerMiddle
24,10,45,LowerMiddle
24,11,25,LowerMiddle
35,9,45,LowerMiddle
55,14,35,Low
75,12,35,LowerMiddle
55,10,35,LowerMiddle
65,9,45,LowerMiddle
75,12,55,Extreme
24,11,45,LowerMiddle
45,8,65,LowerMiddle
45,10,35,LowerMiddle
65,16,35,UpperMiddle
75,12,45,VeryHigh
45,8,25,Low
55,9,35,Extreme
35,16,45,High
55,15,55,VeryHigh
35,12,45,Extreme
65,8,25,Low
45,8,65,LowerMiddle
45,12,45,LowerMiddle
75,16,45,UpperMiddle
65,9,45,LowerMiddle
75,14,35,High
55,14,35,High
35,16,45,VeryHigh
55,14,35,High
45,9,55,VeryHigh
75,11,45,UpperMiddle
35,12,45,LowerMiddle
75,9,45,High
45,9,55,VeryHigh
65,8,25,Low
45,13,45,High
24,8,25,Extreme
65,14,25,LowerMiddle
35,6,65,High
65,8,25,Low
45,8,25,Low
65,8,55,VeryHigh
35,9,45,LowerMiddle
45,8,25,Low
45,8,65,Low
45,13,45,VeryHigh
35,6,65,Low
45,10,25,High
35,11,45,LowerMiddle
45,8,25,Low
55,9,35,Extreme
45,12,35,LowerMiddle
75,12,35,Extreme
24,9,35,High
35,12,35,Low
75,14,35,Low
24,10,35,Low
45,11,35,LowerMiddle
24,9,35,Extreme
24,11,25,UpperMiddle
45,14,25,LowerMiddle
55,16,45,High
55,10,35,LowerMiddle
45,10,25,High
35,11,45,UpperMiddle
45,10,35,Low
35,12,45,Extreme
75,12,35,High
45,11,25,UpperMiddle
45,13,45,High
55,9,35,Extreme
45,10,25,Extreme
65,8,25,Extreme
55,12,35,LowerMiddle
24,10,45,LowerMiddle
65,16,35,LowerMiddle
45,13,45,VeryHigh
55,14,35,Low
24,9,35,Extreme
45,13,55,High
45,8,65,High
55,12,35,Extreme
35,12,45,LowerMiddle
55,15,35,High
24,9,35,High
55,9,45,Low
45,13,45,High
35,9,45,LowerMiddle
24,10,45,Low
24,11,5,High
45,9,55,VeryHigh
35,12,45,LowerMiddle
35,13,55,High
65,11,45,UpperMiddle
35,9,45,High
24,10,45,Low
75,9,45,LowerMiddle
45,13,45,High
55,9,35,Low
75,16,15,UpperMiddle
35,12,35,Low
65,16,35,UpperMiddle
45,10,25,UpperMiddle
35,12,45,LowerMiddle
75,12,55,High
75,12,45,LowerMiddle
24,10,35,LowerMiddle
24,10,35,VeryHigh
65,14,25,LowerMiddle
35,11,45,Low
45,6,25,UpperMiddle
35,9,45,High
45,10,25,UpperMiddle
45,9,45,High
65,8,35,Low
75,12,45,LowerMiddle
45,13,45,High
35,12,55,Low
35,8,25,Extreme
35,12,35,Low
35,9,45,High
55,10,35,LowerMiddle
24,9,35,Extreme
35,12,45,LowerMiddle
45,13,45,High
35,9,45,High
45,13,45,High
24,9,35,Low
75,8,45,LowerMiddle
35,16,45,UpperMiddle
24,14,65,UpperMiddle
35,16,45,VeryHigh
35,9,45,High
45,9,35,High
75,12,45,LowerMiddle
65,11,35,LowerMiddle
24,8,25,Low
24,14,65,UpperMiddle
24,7,65,VeryHigh
75,14,35,Low
65,11,45,High
65,10,45,Low
65,11,35,LowerMiddle
55,10,35,High
45,9,55,VeryHigh
35,9,45,LowerMiddle
35,12,45,LowerMiddle
35,16,45,UpperMiddle
75,12,45,LowerMiddle
45,9,45,High
55,14,35,High
65,8,55,VeryHigh
35,8,55,Low
75,12,45,LowerMiddle
55,8,45,LowerMiddle
45,9,55,VeryHigh
35,13,55,High
65,8,25,Low
75,12,45,LowerMiddle
45,13,45,High
55,12,35,Extreme
75,12,45,LowerMiddle
24,10,45,LowerMiddle
65,11,45,LowerMiddle
75,12,45,LowerMiddle
45,9,55,LowerMiddle
45,9,55,VeryHigh
45,13,45,VeryHigh
45,13,45,VeryHigh
24,9,35,Extreme
45,12,45,LowerMiddle
45,14,25,LowerMiddle
75,16,15,UpperMiddle
55,10,35,LowerMiddle
35,9,45,High
35,9,45,LowerMiddle
24,11,45,LowerMiddle
45,8,65,LowerMiddle
65,10,45,LowerMiddle
24,11,35,Extreme
55,10,35,VeryHigh
75,12,45,LowerMiddle
45,12,45,LowerMiddle
75,12,45,LowerMiddle
45,13,45,UpperMiddle
55,9,45,High
55,14,35,High
65,16,35,LowerMiddle
35,9,45,LowerMiddle
75,12,45,LowerMiddle
35,9,45,LowerMiddle
45,12,45,LowerMiddle
75,10,45,LowerMiddle
35,9,45,High
45,9,35,Extreme
45,13,45,UpperMiddle
45,13,45,High
35,8,55,VeryHigh
45,12,45,LowerMiddle
24,10,25,Extreme
24,10,35,VeryHigh
55,11,45,High
24,12,45,LowerMiddle
65,11,35,LowerMiddle
55,10,45,LowerMiddle
45,9,55,VeryHigh
45,11,35,LowerMiddle
45,13,45,VeryHigh
65,11,45,LowerMiddle
65,16,35,LowerMiddle
35,12,55,Low
45,9,35,High
35,12,35,Extreme
45,6,65,UpperMiddle
55,12,35,Low
65,16,35,LowerMiddle
65,10,25,High
55,9,45,LowerMiddle
24,10,45,LowerMiddle
65,11,35,LowerMiddle
35,9,45,High
35,16,45,High
35,8,55,VeryHigh
24,8,25,Extreme
24,10,35,LowerMiddle
45,14,25,LowerMiddle
65,11,35,LowerMiddle
75,12,45,LowerMiddle
45,13,45,VeryHigh
35,10,35,LowerMiddle
45,10,25,LowerMiddle
45,6,65,Low
24,10,35,LowerMiddle
35,7,65,UpperMiddle
55,10,65,Extreme
55,9,45,High
24,10,35,LowerMiddle
55,9,35,Extreme
24,10,25,Extreme
75,10,45,LowerMiddle
45,13,45,High
45,13,45,VeryHigh
75,10,45,Low
55,10,45,LowerMiddle
35,9,45,LowerMiddle
24,10,35,High
35,11,45,Low
24,9,35,Extreme
75,11,45,LowerMiddle
45,9,35,Extreme
55,10,65,LowerMiddle
75,14,35,High
65,10,45,LowerMiddle
45,12,45,LowerMiddle
24,9,35,Low
65,8,55,VeryHigh
45,13,45,High
45,9,55,VeryHigh
35,9,45,LowerMiddle
55,9,35,High
65,8,25,Extreme
35,12,45,LowerMiddle
24,11,25,UpperMiddle
65,15,65,VeryHigh
24,8,25,Extreme
35,13,55,High
35,12,45,LowerMiddle
24,10,45,Low
55,16,65,High
45,14,25,LowerMiddle
45,12,45,LowerMiddle
35,11,45,LowerMiddle
45,12,45,LowerMiddle
35,8,45,Extreme
24,9,35,Extreme
24,11,45,High
45,9,55,VeryHigh
45,8,65,High
65,14,25,LowerMiddle
24,9,35,Low
35,12,45,LowerMiddle
24,9,35,High
55,13,25,Low
45,13,45,High
55,10,35,LowerMiddle
45,9,55,VeryHigh
65,8,55,VeryHigh
75,12,35,LowerMiddle
45,13,45,VeryHigh
45,13,45,High
75,9,45,LowerMiddle
45,16,45,High
45,9,35,Low
45,11,35,LowerMiddle
24,11,45,High
24,10,45,LowerMiddle
45,9,35,Low
35,9,45,High
65,8,25,Low
65,16,35,LowerMiddle
55,12,35,Extreme
45,8,65,LowerMiddle
45,13,45,VeryHigh
65,10,45,Low
75,12,45,LowerMiddle
45,9,45,LowerMiddle
45,8,65,LowerMiddle
75,14,35,High
55,10,65,UpperMiddle
24,11,25,UpperMiddle
65,15,35,UpperMiddle
45,6,65,Low
55,12,35,Extreme
45,8,25,Extreme
35,9,45,High
65,11,35,LowerMiddle
24,11,25,LowerMiddle
45,8,25,Low
45,9,35,Extreme
24,10,35,VeryHigh
35,14,65,UpperMiddle
65,8,35,Low
35,11,45,UpperMiddle
24,9,35,Low
24,9,35,Low
24,8,25,Low
45,9,55,VeryHigh
55,14,35,High
45,10,35,Low
75,12,45,LowerMiddle
35,6,65,LowerMiddle
75,12,45,LowerMiddle
55,10,35,LowerMiddle
75,12,45,LowerMiddle
35,9,45,LowerMiddle
35,9,45,LowerMiddle
75,14,35,Low
65,10,45,LowerMiddle
75,12,45,LowerMiddle
35,11,45,High
45,9,35,Extreme
75,12,55,Extreme
45,13,45,VeryHigh
35,11,45,Low
24,9,35,Extreme
35,12,55,Extreme
45,13,45,VeryHigh
35,8,55,Low
45,6,65,Low
75,14,35,Low
65,11,35,LowerMiddle
45,9,35,High
45,9,35,Extreme
75,8,45,LowerMiddle
45,13,45,VeryHigh
75,10,45,Low
65,8,25,Low
35,16,45,VeryHigh
65,16,35,LowerMiddle
35,11,45,LowerMiddle
35,9,45,LowerMiddle
35,12,45,LowerMiddle
55,14,35,Low
24,10,45,Low
55,12,35,Low
24,8,25,Low
45,9,55,VeryHigh
45,12,35,High
45,13,45,VeryHigh
75,14,35,High
45,13,45,VeryHigh
75,12,35,Extreme
35,11,45,High
24,9,35,Extreme
45,9,55,VeryHigh
24,9,35,High
45,11,35,Extreme
55,10,35,LowerMiddle
35,9,45,High
65,10,45,Low
75,14,45,Low
24,9,35,Low
65,8,55,UpperMiddle
75,12,45,VeryHigh
45,6,65,Low
75,12,45,LowerMiddle
75,14,35,High
35,9,45,LowerMiddle
75,12,55,Extreme
24,10,35,LowerMiddle
65,11,35,LowerMiddle
24,9,35,High
55,9,45,High
75,14,35,Low
45,13,45,VeryHigh
35,16,45,High
24,11,25,UpperMiddle
24,10,35,LowerMiddle
55,14,35,Low
65,16,35,LowerMiddle
65,8,55,Extreme
55,9,55,LowerMiddle
35,11,45,High
35,8,55,Low
35,13,55,High
45,6,65,Low
45,12,45,LowerMiddle
65,10,45,Low
24,9,35,Low
24,10,35,Low
35,12,45,LowerMiddle
55,13,25,VeryHigh
55,13,25,UpperMiddle
65,12,35,Extreme
35,8,45,Low
45,6,65,Low
45,9,45,Low
45,12,35,High
24,9,35,Extreme
24,6,25,VeryHigh
75,12,35,High
45,13,45,High
24,8,25,Low
65,16,35,LowerMiddle
45,13,45,VeryHigh
24,10,25,High
35,11,45,LowerMiddle
45,8,65,High
65,10,65,Extreme
45,8,25,Low
35,8,45,VeryHigh
45,13,45,High
55,11,45,High
55,10,35,LowerMiddle
35,9,45,High
55,9,35,Extreme
45,8,5,Extreme
55,11,45,Low
35,12,45,LowerMiddle
45,9,55,VeryHigh
65,14,25,LowerMiddle
45,13,45,High
75,12,45,LowerMiddle
24,11,35,LowerMiddle
45,15,55,VeryHigh
55,15,35,High
24,10,35,LowerMiddle
45,13,45,VeryHigh
55,11,25,LowerMiddle
55,10,35,High
45,13,45,High
45,12,45,LowerMiddle
45,13,45,High
45,9,35,Extreme
24,8,45,LowerMiddle
65,10,45,LowerMiddle
75,12,45,LowerMiddle
55,14,35,Low
24,10,45,LowerMiddle
35,9,45,High
45,9,35,Low
45,9,55,VeryHigh
35,9,45,High
35,9,45,LowerMiddle
24,10,45,LowerMiddle
45,15,55,High
35,9,45,Low
75,10,45,LowerMiddle
75,9,25,Low
45,9,55,LowerMiddle
35,12,55,Low
24,10,45,LowerMiddle
75,11,45,Low
55,14,35,Low
45,9,45,Low
55,9,35,High
45,13,45,High
45,6,65,Low
35,14,65,UpperMiddle
45,6,25,VeryHigh
65,16,35,LowerMiddle
35,12,45,LowerMiddle
75,11,45,High
45,9,45,LowerMiddle
55,10,35,LowerMiddle
45,13,45,VeryHigh
45,6,65,High
35,12,35,UpperMiddle
55,12,35,Extreme
35,8,55,Low
45,12,45,LowerMiddle
75,9,25,Low
24,9,35,High
65,9,45,LowerMiddle
35,9,45,LowerMiddle
24,10,35,High
24,10,35,LowerMiddle
75,9,25,LowerMiddle
45,14,25,LowerMiddle
35,12,45,LowerMiddle
75,14,35,High
55,12,35,Extreme
35,6,65,Low
24,9,35,High
65,16,35,LowerMiddle
65,14,45,Low
65,14,25,LowerMiddle
65,16,35,LowerMiddle
35,12,45,LowerMiddle
65,8,55,Low
35,12,55,Low
55,10,45,Low
